step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
57,0,0.001,12.9481,2000,4.07356,4.07356,3.84741,,565.044,551.294,2034.16,1984.66,0.95,1890.94,35.0592,55.8558,778.75,782.5,0.273272,546.544,0.00305897,6.11794,20.7902,41580.3,574.222,-0.200793,4.16777e-11,0.0841431,3.42018,23780.9
58,0,0.001,15.847,2000,2.84273,2.84273,2.84847,,491.772,467.819,1770.38,1684.15,1.7375,1483.22,70.0977,98.267,778.75,782.5,0.229566,459.131,-0.00248217,-4.96434,28.1582,56316.4,500.663,0.3258,7.39914e-12,0.0503639,4.17199,24249.3
59,0,0.001,12.5745,2000,4.72036,4.72036,3.79504,,625.084,613.094,2250.3,2207.14,0.975,2068.88,12.3679,32.1248,778.75,782.5,0.304109,608.219,0.00708518,14.1704,19.7514,39502.8,634.053,-0.769633,3.6787e-12,0.0565279,3.51535,24680
60,0,0.001,12.4065,2000,4.6996,4.6996,3.8225,,618.791,606.781,2227.65,2184.41,1.04375,2090.22,15.0432,34.6789,778.75,782.5,0.300781,601.562,0.00658085,13.1617,19.6302,39260.5,627.603,-0.701678,7.86094e-12,0.0617149,4.76983,25110.6
61,0,0.001,12.6637,2000,4.55321,4.55321,3.79759,,617.181,604.9,2221.85,2177.64,0.99375,2034.78,16.2432,36.3292,778.75,782.5,0.299966,599.931,0.00642156,12.8431,20.0803,40160.6,626.244,-0.699323,2.12737e-12,0.0557845,3.3669,25547.1
62,0,0.001,12.3259,2000,4.77649,4.77649,3.83545,,624.3,612.591,2247.48,2205.33,0.93125,2081.33,12.6225,31.9937,778.75,782.5,0.303967,607.934,0.00688736,13.7747,19.3658,38731.7,633.178,-0.744713,1.88567e-11,0.0577769,3.30482,25975.9
63,0,0.001,12.3926,2000,4.73119,4.73119,3.82147,,625.056,613.059,2250.2,2207.01,1.025,2057.74,12.4701,32.0308,778.75,782.5,0.303967,607.934,0.00681005,13.6201,19.5552,39110.5,633.953,-0.741869,-7.97384e-12,0.0551078,3.35677,26407
64,0,0.001,12.3335,2000,4.77971,4.77971,3.84135,,622.684,611.419,2241.66,2201.11,0.7875,2085.14,13.409,32.6612,778.75,782.5,0.303741,607.481,0.0067352,13.4704,19.247,38494,631.663,-0.72662,-1.20004e-12,0.0562579,3.33833,26838.1
65,0,0.001,12.2809,2000,4.77719,4.77719,3.8465,,623.431,612.528,2244.35,2205.1,0.70625,2108.53,13.3676,32.59,778.75,782.5,0.304498,608.997,0.00678456,13.5691,19.2172,38434.4,632.416,-0.730969,-3.52998e-12,0.0552026,3.31741,27268.9
66,0,0.001,12.2315,2000,4.7885,4.7885,3.87142,,620.747,609.869,2234.69,2195.53,0.69375,2111.74,14.3934,33.4867,778.75,782.5,0.3032,606.4,0.00654917,13.0983,19.0882,38176.5,629.656,-0.697264,1.65278e-12,0.0566229,3.30223,27696.6
