step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time,collisions_human
64,0,0.001,7.42908,2000,5.17454,4.71964,3.52931,5.43868,633.347,621.355,2280.05,2236.88,3.04375,2368.47,7.69696,25.7199,778.75,782.5,0.303068,606.136,0.00139941,2.79881,6.55232,13104.6,213.955,-0.284172,8.71638e-12,0.154539,4.95938,,2.61719
65,0,0.001,7.40978,2000,5.17052,4.71952,3.50614,5.4321,633.65,621.283,2281.14,2236.62,3.1,2343.48,7.43629,25.4988,778.75,782.5,0.302891,605.783,0.001349,2.698,6.55968,13119.4,214.006,-0.275675,4.55682e-12,0.15375,5.42383,,2.66094
66,0,0.001,7.43535,2000,5.13958,4.70404,3.45905,5.39135,633.805,621.256,2281.7,2236.52,3.10312,2333.82,7.26474,25.5303,778.75,782.5,0.30287,605.741,0.00129435,2.58871,6.61071,13221.4,214.042,-0.263061,-6.60682e-12,0.156853,5.15355,,2.58438
67,0,0.001,7.58143,2000,5.15015,4.71474,3.48749,5.40182,633.703,620.883,2281.33,2235.18,3.31562,2336.92,7.40637,25.6404,778.75,782.5,0.302152,604.305,0.00105211,2.10422,6.59671,13193.4,214.011,-0.243241,1.00462e-11,0.153516,6.98372,,2.71875
68,0,0.001,7.51961,2000,5.12366,4.69994,3.44848,5.36788,633.197,620.095,2279.51,2232.34,3.3375,2295.78,7.52713,25.9156,778.75,782.5,0.301704,603.408,0.000920422,1.84084,6.63748,13275,213.863,-0.216411,1.45504e-11,0.155111,5.59575,,2.72969
69,0,0.001,7.471,2000,5.10815,4.6869,3.43643,5.35089,633.069,620.166,2279.05,2232.6,3.3,2312.23,7.5808,26.0459,778.75,782.5,0.301833,603.666,0.000901119,1.80224,6.66119,13322.4,213.856,-0.213505,1.06782e-11,0.157717,7.04178,,2.65469
70,0,0.001,7.46534,2000,5.10846,4.65315,3.55017,5.37339,632.198,620.498,2275.91,2233.79,2.35312,2331.09,8.32812,26.4986,778.75,782.5,0.304366,608.733,0.0015193,3.0386,6.61619,13232.4,213.489,-0.285056,3.72924e-12,0.160512,8.94152,,2.04688
71,0,0.001,7.42146,2000,5.21591,4.75877,3.53206,5.48126,634.405,622.317,2283.86,2240.34,3,2357.63,7.10847,25.0582,778.75,782.5,0.303659,607.317,0.00138581,2.77163,6.52185,13043.7,214.289,-0.268828,1.28183e-12,0.153174,6.92699,,2.5
72,0,0.001,7.47018,2000,5.21143,4.76223,3.52949,5.47151,634.586,622.161,2284.51,2239.78,3.3875,2352.16,7.14832,25.1387,778.75,782.5,0.302612,605.223,0.00107367,2.14733,6.52546,13050.9,214.38,-0.258946,-2.2227e-11,0.15137,5.20935,,2.8125
73,0,0.001,7.42167,2000,5.14554,4.72438,3.44686,5.38804,633.337,619.895,2280.02,2231.62,3.78125,2305.25,7.38748,25.7676,778.75,782.5,0.300495,600.989,0.000431511,0.863022,6.62508,13250.2,213.908,-0.178577,-1.65609e-12,0.152343,7.90004,,3.00937
74,0,0.001,7.39351,2000,5.23234,4.79277,3.5191,5.48604,634.859,622.027,2285.49,2239.3,3.85625,2369.57,6.98622,24.9867,778.75,782.5,0.301373,602.745,0.000722399,1.4448,6.51039,13020.8,214.466,-0.221887,-2.85495e-12,0.145698,5.20807,,3.12188
75,0,0.001,7.39084,2000,5.23207,4.78069,3.51342,5.49345,635.45,623.034,2287.62,2242.92,3.35938,2357.26,6.67532,24.6041,778.75,782.5,0.303119,606.237,0.00118704,2.37408,6.50609,13012.2,214.598,-0.273029,-3.05119e-11,0.150779,6.98173,,2.78437
76,0,0.001,7.59557,2000,5.20107,4.7547,3.49349,5.45938,635.131,622.806,2286.47,2242.1,3.11875,2356.45,6.76795,24.833,778.75,782.5,0.303606,607.212,0.00126692,2.53384,6.54997,13099.9,214.495,-0.27533,-1.42069e-11,0.15552,5.16953,,2.54531
77,0,0.001,7.34329,2000,5.23606,4.7821,3.5402,5.49899,635.258,623.366,2286.93,2244.12,3.1,2404.92,6.72201,24.6284,778.75,782.5,0.303933,607.866,0.00132174,2.64348,6.50008,13000.2,214.562,-0.277331,1.34287e-11,0.151701,5.52954,,2.575
78,0,0.001,7.41194,2000,5.19015,4.73712,3.48072,5.45288,635.225,623.703,2286.81,2245.33,2.52813,2367.22,6.7573,24.8301,778.75,782.5,0.305531,611.062,0.00174334,3.48668,6.56295,13125.9,214.589,-0.299163,3.57451e-12,0.159361,7.9266,,2.09687
