step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
46,0,0.001,7.70336,2000,5.04188,4.7862,3.68216,5.32819,576.703,563.668,2076.13,2029.2,4.51562,2337.81,28.8041,46.066,765.625,765.625,0.270545,541.09,0.00981702,19.634,9.04353,18087.1,292.949,-1.17036,1.60781e-11,0.397134,1.96509,16262.7
47,0,0.001,7.59103,2000,5.32052,5.0609,3.6078,5.61025,588.652,573.656,2119.15,2065.16,5.875,2324.17,23.0238,40.0721,765.625,765.625,0.272141,544.281,0.0102731,20.5462,8.90623,17812.5,298.762,-1.25865,1.97889e-11,0.368213,1.93693,16590.3
48,0,0.001,7.67134,2000,5.34915,5.10128,3.52641,5.62437,591.367,575.812,2128.92,2072.93,6.53906,2367.67,21.6634,39.0564,765.625,765.625,0.271559,543.117,0.00988283,19.7657,9.05801,18116,300.238,-1.24946,1.44187e-12,0.358988,1.92511,16925.9
49,0,0.001,7.6536,2000,5.42105,5.17366,3.54929,5.69535,592.992,577.238,2134.77,2078.06,6.78125,2380.28,20.7528,37.9916,765.625,765.625,0.271666,543.332,0.00974332,19.4866,8.97528,17950.6,301.016,-1.23507,-2.32243e-11,0.341358,1.87588,17256.3
50,0,0.001,7.62192,2000,5.33469,5.07913,3.64027,5.61929,590.77,575.719,2126.77,2072.59,6.11719,2354.92,22.2327,39.3267,765.625,765.625,0.272566,545.133,0.00970132,19.4026,8.92852,17857,299.93,-1.21744,7.2745e-12,0.354614,1.96674,17586.2
51,0,0.001,7.40993,2000,5.36748,5.0916,3.68026,5.67686,584.008,571.371,2102.43,2056.94,4.99219,2437.58,25.7217,42.2119,765.625,765.625,0.273205,546.41,0.00945519,18.9104,8.6481,17296.2,296.496,-1.14584,-2.87213e-11,0.359658,1.86278,17906
52,0,0.001,7.41758,2000,5.36047,5.08656,3.64824,5.66733,585.371,572.641,2107.34,2061.51,4.96094,2404.07,24.9249,41.5062,765.625,765.625,0.273918,547.836,0.00951621,19.0324,8.69027,17380.5,297.242,-1.15365,2.72025e-11,0.358517,1.87392,18224.3
53,0,0.001,7.38908,2000,5.41667,5.15683,3.5563,5.70622,592.262,577.508,2132.14,2079.03,6.00781,2389.59,21.239,38.2404,765.625,765.625,0.273734,547.469,0.00941286,18.8257,8.87357,17747.1,300.562,-1.17929,9.95322e-12,0.346775,2.01531,18553
54,0,0.001,7.36208,2000,5.22514,4.96309,3.65456,5.51811,586.301,573.355,2110.68,2064.08,4.53906,2369.32,24.4817,41.5566,765.625,765.625,0.27533,550.66,0.00940634,18.8127,8.93743,17874.9,297.707,-1.13784,8.75637e-13,0.352134,2.01608,18867.9
55,0,0.001,7.18234,2000,5.36499,5.09353,3.57242,5.66909,589.711,576.57,2122.96,2075.65,4.67969,2369.96,22.7481,39.5464,765.625,765.625,0.276586,553.172,0.00965498,19.31,8.79176,17583.5,299.348,-1.15968,1.1384e-11,0.352299,1.88127,19187.4
56,0,0.001,7.27402,2000,5.31699,5.05659,3.51326,5.60809,591.535,577.758,2129.53,2079.93,5.125,2412.32,21.4221,38.62,765.625,765.625,0.276066,552.133,0.0093653,18.7306,8.98084,17961.7,300.32,-1.13351,4.15768e-11,0.34273,1.95084,19507.4
57,0,0.001,7.4148,2000,5.18377,4.92792,3.52178,5.46998,591.715,577.887,2130.17,2080.39,4.52344,2342.15,21.7825,39.3283,765.625,765.625,0.277635,555.27,0.00958345,19.1669,9.16219,18324.4,300.363,-1.14396,-2.78719e-12,0.346259,1.92082,19832.8
58,0,0.001,7.32259,2000,5.10654,4.84871,3.59557,5.39537,587.461,575.207,2114.86,2070.75,3.5,2356.15,23.9046,41.3092,765.625,765.625,0.278854,557.707,0.00963659,19.2732,9.11177,18223.5,298.199,-1.12829,1.77389e-11,0.359735,1.90967,20147.1
59,0,0.001,7.32641,2000,5.17742,4.91373,3.57661,5.47293,589.18,576.91,2121.05,2076.88,3.64062,2360.49,23.085,40.3805,765.625,765.625,0.279354,558.707,0.00965989,19.3198,9.05468,18109.4,299.141,-1.13887,-7.94554e-12,0.358213,1.91769,20469.2
60,0,0.001,7.28759,2000,5.20844,4.94855,3.52082,5.4995,592.906,579.766,2134.46,2087.16,4.21094,2362.87,21.0328,38.4904,765.625,765.625,0.279355,558.711,0.00957962,19.1592,9.12593,18251.9,300.895,-1.13887,1.27977e-11,0.35527,1.95776,20786.5
61,0,0.001,7.32637,2000,5.21704,4.95916,3.50055,5.5056,594.223,580.48,2139.2,2089.73,4.54688,2335.21,20.5282,38.0273,765.625,765.625,0.278873,557.746,0.00941189,18.8238,9.1473,18294.6,301.645,-1.1557,-7.51418e-12,0.357544,1.97903,21109.4
62,0,0.001,7.34846,2000,5.17452,4.91555,3.53574,5.46456,592.484,579.559,2132.94,2086.41,3.90625,2354.95,21.3132,38.876,765.625,765.625,0.280014,560.027,0.00943233,18.8647,9.18402,18368,300.754,-1.12308,-1.36837e-11,0.351628,1.91857,21434
63,0,0.001,7.41251,2000,4.99994,4.75243,3.5674,5.27674,589.055,576.727,2120.6,2076.22,3.01562,2310.05,23.1937,41.0841,765.625,765.625,0.280824,561.648,0.00938597,18.7719,9.35615,18712.3,299.074,-1.10488,2.85235e-11,0.357604,1.9734,21754.8
64,0,0.001,7.49825,2000,4.98821,4.73881,3.5507,5.26738,589.309,576.641,2121.51,2075.91,2.99219,2254.57,22.8355,40.7544,765.625,765.625,0.28084,561.68,0.00922489,18.4498,9.37385,18747.7,299.246,-1.09062,4.15956e-11,0.356026,2.03268,22078.1
65,0,0.001,7.40296,2000,5.17193,4.91809,3.46669,5.45593,595.73,582.727,2144.63,2097.82,4.03906,2365.28,19.4449,37.2483,765.625,765.625,0.281266,562.531,0.00934176,18.6835,9.29435,18588.7,302.48,-1.11146,-1.01399e-12,0.341512,1.98152,22402.3
66,0,0.001,7.4378,2000,5.10062,4.84654,3.48943,5.38525,595.414,582.41,2143.49,2096.68,3.4375,2288.7,19.7739,37.6094,765.625,765.625,0.282611,565.223,0.00951611,19.0322,9.32302,18646,302.266,-1.12256,-2.38792e-11,0.347668,2.00605,22728.7
67,0,0.001,7.47756,2000,5.09945,4.84705,3.43493,5.38221,595.137,582.164,2142.49,2095.79,3.42188,2333.68,19.491,37.4724,765.625,765.625,0.282527,565.055,0.00937834,18.7567,9.38934,18778.7,302.062,-1.09009,-6.27523e-12,0.339245,2.02409,23056.5
68,0,0.001,7.42859,2000,5.13541,4.87624,3.44475,5.42628,595.051,582.957,2142.18,2098.65,2.78906,2335.8,19.9858,37.7055,765.625,765.625,0.284506,569.012,0.00975481,19.5096,9.26346,18526.9,302.113,-1.12005,-2.55209e-12,0.333772,2.48391,23383.7
69,0,0.001,7.43395,2000,5.15911,4.90211,3.41794,5.44738,593.441,580.082,2136.39,2088.3,3.85938,2314.92,20.346,38.1411,765.625,765.625,0.280393,560.785,0.00852848,17.057,9.28767,18575.3,301.246,-1.00335,1.65917e-11,0.316182,1.92306,23708.4
70,0,0.001,7.43217,2000,5.14987,4.88726,3.49714,5.44474,594.633,583.145,2140.68,2099.32,2.99219,2393.63,20.5285,38.1304,765.625,765.625,0.284092,568.184,0.00934923,18.6985,9.20866,18417.3,301.871,-1.08737,1.14095e-11,0.323195,2.57842,24035.1
71,0,0.001,7.47349,2000,5.14917,4.88821,3.41682,5.44235,593.66,581.461,2137.18,2093.26,2.88281,2335.77,20.0652,37.7889,765.625,765.625,0.283523,567.047,0.00905829,18.1166,9.26231,18524.6,301.328,-1.03769,1.03462e-11,0.31833,1.98156,24362.3
